accessorise accessorize
acclimatise acclimatize
actualise actualize
actualisation actualization
Africanise Africanize
aggrandise aggrandize
aggrandisement aggrandizement
agonise agonize
alkalinise alkalize
alkalise alkalize
allegorise allegorize
alphabetise alphabetize
alphabetisation alphabetization
aluminise aluminize
Americanise Americanize
Americanisation Americanization
amortise amortize
amortisation amortization
analogise analogize
analyse analyze
Anglicise Anglicize
annualise annualize
antagonise antagonize
anthologise anthologize
aphorise aphorize
apologise apologize
appetiser appetizer
aromatise aromatize
atomise atomize
atomiser atomizer
attitudinise attitudinize
authorise authorize
authorisation authorization
bastardise bastardize
bastardisation bastardization
bestialise bestialize
breathaliser breathalyzer
brutalise brutalize
bureaucratise bureaucratize
bureaucratisation bureaucratization
burglarise burglarize
cannibalise cannibalize
cannibalisation cannibalization
canonise canonize
canonisation canonization
centralise centralize
centralisation centralization
capitalise capitalize
capitalisation capitalization
caramelise caramelize
carbonise carbonize
carbonisation carbonization
catalyse catalyze
categorise categorize
categorisation categorization
cauterise cauterize
cauterisation cauterization
characterise characterize
characterisation characterization
Christianise Christianize
circularise circularize
civilise civilize
civilisation civilization
cognisance cognizance
cognisant cognizant
collectivise collectivize
colonise colonize
colonisation colonization
commercialise commercialize
commercialisation commercialization
communise communize
compartmentalise compartmentalize
compartmentalisation compartmentalization
computerise computerize
computerisation computerization
conceptualise conceptualize
conceptualisation conceptualization
conventionalise conventionalize
conventionalisation conventionalization
criticise criticize
crystallise crystallize
crystallisation crystallization
decentralise decentralize
decentralise decentralization
decolourise decolorize
decriminalise decriminalize
decriminalisation decriminalization
dehumanise dehumanize
dehumanisation dehumanization
demagnetise demagnetize
demagnetisation demagnetization
dematerialise dematerialize
demilitarised demilitarized
demilitarisation demilitarization
demineralisation demineralization
demobilise demobilize
demobilisation demobilization
democratise democratize
democratisation democratization
demonise demonize
demoralise demoralize
demoralisation demoralization
demythologise demythologize
demythologisation demythologization
denationalise denationalize
denationalisation denationalization
deodorise deodorize
deoxidise deoxidize
deoxidisation deoxidization
departmentalise departmentalize
departmentalisation departmentalization
depersonalise depersonalize
depersonalisation depersonalization
depolarise depolarize
depolarisation depolarization
depressurise depressurize
depressurisation depressurization
deputise deputize
desalinise desalinize
desalinisation desalinization
desensitise desensitize
desensitisation desensitization
desexualise desexualize
destabilise destabilize
destabilisation destabilization
devitalise devitalize
dialogise dialogize
digitalisation digitalization
digitalise digitize
digitise digitize
digitisation digitization
disorganise disorganize
disorganisation disorganization
dramatise dramatize
dramatisation dramatization
economise economize
editorialise editorialize
effeminise effeminize
electrolyse electrolyze
elegise elegize
empathise empathize
emphasise emphasize
energise energize
epitomise epitomize
equalise equalize
equalisation equalization
eternalise eternalize
etymologise etymologize
eulogise eulogize
evangelise evangelize
evangelisation evangelization
extemporise extemporize
extemporisation extemporization
externalise externalization
externalisation externalization
familiarise familiarize
familiarisation familiarization
fanaticise fanaticize
fantasise fantasize
federalise federalize
federalisation federalization
feminise feminize
feminisation feminization
fertilise fertilize
fertiliser fertilizer
fertilisation fertilization
fictionalise fictionalize
finalise finalize
finalisation finalization
fluidise fluidize
fluidisation fluidization
focalise focalize
focalisation focalization
formalise formalize
formalisation formalization
formularise formularize
formularisation formularization
fossilise fossilize
fossilisation fossilization
fractionalise fractionalize
fractionalisation fractionalization
fraternise fraternize
fraternisation fraternization
galvanise galvanize
galvanisation galvanization
gelatinise gelatinize
generalise generalize
generalisation generalization
glamourise glamorize
glamourisation glamorization
globalise globalize
globalisation globalization
gormandise gormandize
gourmandise gourmandize
ghettoise ghettoize
idealise idealize
idealisation idealization
idolise idolize
idolisation idolization
immobilise immobilize
immobilisation immobilization
immortalise immortalize
immunise immunize
immunisation immunization
individualise individualize
individualisation individualization
industrialise industrialize
industrialisation industrialization
